2022-11-14 00:22:10.382 | INFO     | __main__:load_from_wb:455 - c_7 | Началась загрузка таблицы stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:22:11.147 | SUCCESS  | __main__:load_from_wb:481 - c_7 | Загружена таблица stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:22:11.152 | INFO     | __main__:delete_actual_part_from_bq:514 - c_7 | Началось удаление строк из таблицы stocks | Выполнено запросов: 0 из 1
2022-11-14 00:22:14.352 | INFO     | __main__:delete_actual_part_from_bq:522 - c_7 | Удаление строк из таблицы stocks | Выполнено запросов: 1 из 1
2022-11-14 00:22:14.352 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_7 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_7_stocks по id, которые будут заменены новыми данными
2022-11-14 00:22:23.980 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_7 | Таблица stocks записана в BQ
2022-11-14 00:22:24.161 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:22:24.161 | INFO     | __main__:load_from_wb:455 - c_7 | Началась загрузка таблицы orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:22:25.947 | SUCCESS  | __main__:load_from_wb:481 - c_7 | Загружена таблица orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:22:28.551 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_7 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_7_orders начиная с 2022-10-01 00:00:00
2022-11-14 00:22:31.496 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_7 | Таблица orders записана в BQ
2022-11-14 00:22:31.656 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:22:31.658 | INFO     | __main__:load_from_wb:455 - c_7 | Началась загрузка таблицы sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:22:33.056 | SUCCESS  | __main__:load_from_wb:481 - c_7 | Загружена таблица sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:22:35.665 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_7 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_7_sales начиная с 2022-10-01 00:00:00
2022-11-14 00:22:42.763 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_7 | Таблица sales записана в BQ
2022-11-14 00:22:42.908 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:22:42.908 | INFO     | __main__:make_main_table:184 - c_7 | Началось формирование таблицы main
2022-11-14 00:22:42.925 | DEBUG    | __main__:make_main_table:198 - MAIN LENGTH BEGINNING: 2638
2022-11-14 00:22:43.200 | DEBUG    | __main__:make_main_table:377 - MAIN LENGTH ENGING: 2638
2022-11-14 00:22:43.201 | SUCCESS  | __main__:make_main_table:381 - c_7 | Таблица main сформирована
2022-11-14 00:22:43.202 | INFO     | __main__:delete_actual_part_from_bq:514 - c_7 | Началось удаление строк из таблицы main | Выполнено запросов: 0 из 1
2022-11-14 00:22:46.495 | INFO     | __main__:delete_actual_part_from_bq:522 - c_7 | Удаление строк из таблицы main | Выполнено запросов: 1 из 1
2022-11-14 00:22:46.496 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_7 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_7_main по id, которые будут заменены новыми данными
2022-11-14 00:22:49.809 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_7 | Таблица main записана в BQ
2022-11-14 00:22:49.994 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:22:49.995 | SUCCESS  | __main__:main_load:72 - c_7 | Обработка клиента завершилась
2022-11-14 00:22:50.869 | SUCCESS  | __main__:create_bq_tables_if_needed:535 - c_9 | Все таблицы созданы в BQ
2022-11-14 00:22:50.869 | INFO     | __main__:main_load:40 - c_9 | Обработка началась
2022-11-14 00:22:51.931 | INFO     | __main__:clients_first_load:952 - c_9 | Сценарий | Первичная выгрузка: False
2022-11-14 00:22:51.933 | INFO     | __main__:check_if_tables_must_be_updated:724 - c_9 | Сценарий | Необходима выгрузка реализации из WB: False
2022-11-14 00:22:51.933 | INFO     | __main__:check_if_tables_must_be_updated:731 - c_9 | Сценарий | Необходима выгрузка склада из WB: True
2022-11-14 00:22:51.934 | INFO     | __main__:get_actual_part_start_date:968 - c_9 | Начинаем выгрузку с даты: 2022-10-01 00:00:00
2022-11-14 00:22:55.801 | INFO     | __main__:load_report_from_bq:428 - c_9 | Получение таблицы report из BQ | Выполнено запросов: 1 из 1
2022-11-14 00:22:55.925 | SUCCESS  | __main__:load_report_from_bq:430 - c_9 | Таблица report получена из BQ
2022-11-14 00:22:55.927 | INFO     | __main__:load_from_wb:455 - c_9 | Началась загрузка таблицы stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:22:56.649 | SUCCESS  | __main__:load_from_wb:481 - c_9 | Загружена таблица stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:22:56.654 | INFO     | __main__:delete_actual_part_from_bq:514 - c_9 | Началось удаление строк из таблицы stocks | Выполнено запросов: 0 из 1
2022-11-14 00:23:00.334 | INFO     | __main__:delete_actual_part_from_bq:522 - c_9 | Удаление строк из таблицы stocks | Выполнено запросов: 1 из 1
2022-11-14 00:23:00.334 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_9 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_9_stocks по id, которые будут заменены новыми данными
2022-11-14 00:23:06.823 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_9 | Таблица stocks записана в BQ
2022-11-14 00:23:07.006 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:23:07.006 | INFO     | __main__:load_from_wb:455 - c_9 | Началась загрузка таблицы orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:08.385 | SUCCESS  | __main__:load_from_wb:481 - c_9 | Загружена таблица orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:10.731 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_9 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_9_orders начиная с 2022-10-01 00:00:00
2022-11-14 00:23:14.919 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_9 | Таблица orders записана в BQ
2022-11-14 00:23:15.046 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:23:15.047 | INFO     | __main__:load_from_wb:455 - c_9 | Началась загрузка таблицы sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:16.628 | SUCCESS  | __main__:load_from_wb:481 - c_9 | Загружена таблица sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:19.246 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_9 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_9_sales начиная с 2022-10-01 00:00:00
2022-11-14 00:23:22.257 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_9 | Таблица sales записана в BQ
2022-11-14 00:23:22.409 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:23:22.410 | INFO     | __main__:make_main_table:184 - c_9 | Началось формирование таблицы main
2022-11-14 00:23:22.439 | DEBUG    | __main__:make_main_table:198 - MAIN LENGTH BEGINNING: 1383
2022-11-14 00:23:22.718 | DEBUG    | __main__:make_main_table:377 - MAIN LENGTH ENGING: 1383
2022-11-14 00:23:22.719 | SUCCESS  | __main__:make_main_table:381 - c_9 | Таблица main сформирована
2022-11-14 00:23:22.720 | INFO     | __main__:delete_actual_part_from_bq:514 - c_9 | Началось удаление строк из таблицы main | Выполнено запросов: 0 из 1
2022-11-14 00:23:25.579 | INFO     | __main__:delete_actual_part_from_bq:522 - c_9 | Удаление строк из таблицы main | Выполнено запросов: 1 из 1
2022-11-14 00:23:25.580 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_9 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_9_main по id, которые будут заменены новыми данными
2022-11-14 00:23:34.527 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_9 | Таблица main записана в BQ
2022-11-14 00:23:34.703 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:23:34.704 | SUCCESS  | __main__:main_load:72 - c_9 | Обработка клиента завершилась
2022-11-14 00:23:35.411 | SUCCESS  | __main__:create_bq_tables_if_needed:535 - c_10 | Все таблицы созданы в BQ
2022-11-14 00:23:35.412 | INFO     | __main__:main_load:40 - c_10 | Обработка началась
2022-11-14 00:23:36.237 | INFO     | __main__:clients_first_load:952 - c_10 | Сценарий | Первичная выгрузка: False
2022-11-14 00:23:36.239 | INFO     | __main__:check_if_tables_must_be_updated:724 - c_10 | Сценарий | Необходима выгрузка реализации из WB: False
2022-11-14 00:23:36.239 | INFO     | __main__:check_if_tables_must_be_updated:731 - c_10 | Сценарий | Необходима выгрузка склада из WB: True
2022-11-14 00:23:36.239 | INFO     | __main__:get_actual_part_start_date:968 - c_10 | Начинаем выгрузку с даты: 2022-10-01 00:00:00
2022-11-14 00:23:39.795 | INFO     | __main__:load_report_from_bq:428 - c_10 | Получение таблицы report из BQ | Выполнено запросов: 1 из 1
2022-11-14 00:23:39.832 | SUCCESS  | __main__:load_report_from_bq:430 - c_10 | Таблица report получена из BQ
2022-11-14 00:23:39.833 | INFO     | __main__:load_from_wb:455 - c_10 | Началась загрузка таблицы stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:40.593 | SUCCESS  | __main__:load_from_wb:481 - c_10 | Загружена таблица stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:40.596 | INFO     | __main__:delete_actual_part_from_bq:514 - c_10 | Началось удаление строк из таблицы stocks | Выполнено запросов: 0 из 1
2022-11-14 00:23:43.196 | INFO     | __main__:delete_actual_part_from_bq:522 - c_10 | Удаление строк из таблицы stocks | Выполнено запросов: 1 из 1
2022-11-14 00:23:43.197 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_10 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_10_stocks по id, которые будут заменены новыми данными
2022-11-14 00:23:47.298 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_10 | Таблица stocks записана в BQ
2022-11-14 00:23:47.503 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:23:47.503 | INFO     | __main__:load_from_wb:455 - c_10 | Началась загрузка таблицы orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:48.542 | SUCCESS  | __main__:load_from_wb:481 - c_10 | Загружена таблица orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:50.886 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_10 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_10_orders начиная с 2022-10-01 00:00:00
2022-11-14 00:23:54.151 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_10 | Таблица orders записана в BQ
2022-11-14 00:23:54.282 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:23:54.283 | INFO     | __main__:load_from_wb:455 - c_10 | Началась загрузка таблицы sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:55.285 | SUCCESS  | __main__:load_from_wb:481 - c_10 | Загружена таблица sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:23:57.785 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_10 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_10_sales начиная с 2022-10-01 00:00:00
2022-11-14 00:24:00.543 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_10 | Таблица sales записана в BQ
2022-11-14 00:24:00.700 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:24:00.700 | INFO     | __main__:make_main_table:184 - c_10 | Началось формирование таблицы main
2022-11-14 00:24:00.709 | DEBUG    | __main__:make_main_table:198 - MAIN LENGTH BEGINNING: 196
2022-11-14 00:24:00.832 | DEBUG    | __main__:make_main_table:377 - MAIN LENGTH ENGING: 196
2022-11-14 00:24:00.833 | SUCCESS  | __main__:make_main_table:381 - c_10 | Таблица main сформирована
2022-11-14 00:24:00.833 | INFO     | __main__:delete_actual_part_from_bq:514 - c_10 | Началось удаление строк из таблицы main | Выполнено запросов: 0 из 1
2022-11-14 00:24:03.405 | INFO     | __main__:delete_actual_part_from_bq:522 - c_10 | Удаление строк из таблицы main | Выполнено запросов: 1 из 1
2022-11-14 00:24:03.405 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_10 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_10_main по id, которые будут заменены новыми данными
2022-11-14 00:24:09.024 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_10 | Таблица main записана в BQ
2022-11-14 00:24:09.218 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:24:09.218 | SUCCESS  | __main__:main_load:72 - c_10 | Обработка клиента завершилась
2022-11-14 00:24:09.939 | SUCCESS  | __main__:create_bq_tables_if_needed:535 - c_11 | Все таблицы созданы в BQ
2022-11-14 00:24:09.939 | INFO     | __main__:main_load:40 - c_11 | Обработка началась
